time,MT_001,MT_002,MT_003,MT_004,MT_005,MT_006,MT_007,MT_008,MT_009,MT_010,MT_011,MT_012,MT_013,MT_014,MT_015,MT_016,MT_017,MT_018,MT_019,MT_020
07/15/2022 00:00:00,95741.74312,96117.803934,94362.794231,91953.295114,88699.857858,84586.532247,79976.639771,74958.930623,69839.050828,68339.079771,67196.834989,67103.048,65914.748317,67161.637215,72434.872582,78507.383189,83759.87469,88080.595222,91306.324601,93555.706301
07/16/2022 00:00:00,95728.103362,96107.036273,94349.528901,91945.467215,88697.504789,84585.693597,79976.974909,74957.8269,69838.293282,68318.749013,67181.903366,67092.186063,65903.77454,67163.333535,72441.509062,78506.838829,83753.835518,88067.884024,91291.863367,93543.732278
07/17/2022 00:00:00,95714.462704,96096.279962,94336.263829,91937.631873,88695.151206,84584.86116,79977.310592,74956.719027,69837.506696,68298.421195,67166.979162,67081.424985,65892.705316,67165.174091,72448.147772,78506.300357,83747.801762,88055.175243,91277.402302,93531.758594
07/18/2022 00:00:00,95700.821143,96085.535087,94322.999017,91929.789081,88692.797105,84584.034933,79977.646822,74955.606997,69836.691089,68278.096319,67152.062387,67070.764753,65881.539845,67167.159059,72454.788685,78505.76627,83741.773424,88042.468879,91262.941406,93519.785248
07/19/2022 00:00:00,95687.178678,96074.801737,94309.734463,91921.938834,88690.442486,84583.214912,79977.9836,74954.490802,69835.846481,68257.774387,67137.153048,67060.205356,65870.277321,67169.288616,72461.431775,78505.23842,83735.750503,88029.764932,91248.480681,93507.812241
07/20/2022 00:00:00,95673.535306,96064.080001,94296.470168,91914.081125,88688.087349,84582.401096,79978.320928,74953.370438,69834.972892,68237.455402,67122.251156,67049.746784,65859.219281,67171.696221,72468.077015,78504.716763,83729.733001,88017.063402,91234.020126,93495.839572
07/21/2022 00:00:00,95659.891027,96053.369969,94283.206132,91906.21595,88685.731692,84581.59348,79978.658809,74952.245897,69834.07034,68217.139366,67107.356717,67039.389025,65848.76037,67174.522727,72474.724376,78504.201255,83723.720916,88004.364286,91219.559742,93483.867242
07/22/2022 00:00:00,95646.245839,96042.671731,94269.942355,91898.343303,88683.375514,84580.792064,79978.997244,74951.117174,69833.138846,68196.826283,67092.469741,67029.132068,65838.193224,67177.480783,72481.373833,78503.691853,83717.71425,87991.667586,91205.09953,93471.895251
07/23/2022 00:00:00,95632.59974,96031.98538,94256.678838,91890.463177,88681.018815,84579.996842,79979.336237,74949.984261,69832.17843,68176.516155,67077.590236,67018.975901,65827.516819,67180.570724,72488.025357,78503.188514,83711.713002,87978.973301,91190.639491,93459.923599
07/24/2022 00:00:00,95618.952728,96021.311007,94243.41558,91882.575567,88678.661593,84579.207814,79979.675788,74948.847152,69831.189112,68156.208984,67062.718211,67008.920514,65816.73012,67183.792886,72494.678921,78502.691193,83705.717173,87966.281429,91176.179624,93447.952286
07/25/2022 00:00:00,95605.304802,96010.648707,94230.152581,91874.680468,88676.303848,84578.424976,79980.015899,74947.705841,69830.170912,68135.904772,67047.853674,66998.965896,65805.832079,67187.147608,72501.334498,78502.199849,83699.726762,87953.591972,91161.719932,93435.981312
07/26/2022 00:00:00,95591.65596,95999.998575,94216.889842,91866.777873,88673.945578,84577.648326,79980.356574,74946.560322,69829.12385,68115.603524,67032.996635,66989.112035,65794.821633,67190.635232,72507.99206,78501.714438,83693.741771,87940.904927,91147.260413,93424.010678
07/27/2022 00:00:00,95578.0062,95989.360705,94203.627362,91858.867777,88671.586782,84576.87786,79980.697814,74945.410587,69828.047946,68095.30524,67018.147101,66979.35892,65783.697707,67194.2561,72514.651581,78501.234919,83687.7622,87928.220295,91132.80107,93412.040383
07/28/2022 00:00:00,95564.35552,95978.735195,94190.365142,91850.950174,88669.22746,84576.113576,79981.039622,74944.256631,69826.922373,68075.009925,67003.305081,66969.70654,65772.459212,67198.01056,72521.313032,78500.793488,83681.788047,87915.538075,91118.341902,93400.070428
07/29/2022 00:00:00,95550.70392,95968.122142,94177.103182,91843.025059,88666.867611,84575.355471,79981.381998,74943.098447,69825.920314,68054.717579,66988.470584,66960.154885,65761.105045,67201.898959,72527.976386,78500.358989,83675.819315,87902.858266,91103.88291,93388.100812
