,MT_001,MT_002,MT_003,MT_004,MT_005,MT_006,MT_007,MT_008,MT_009,MT_010,MT_011,MT_012,MT_013,MT_014,MT_015,MT_016,MT_017,MT_018,MT_019,MT_020
30,96385.48005066668,96556.83805099998,94879.368616,92099.743068,88606.864257,84571.59365533333,79945.79293633332,75043.602973,69820.175025,68790.33517533334,67082.34173,66496.77948266668,65910.99245733334,67694.24050100001,72193.70133633334,78536.783183,84036.77506066667,88643.07198966667,91936.52750033332,94099.67993733333
31,96392.946085,96565.169908,94889.47393333334,92108.52679066667,88613.01212866667,84573.74315633334,79945.982921,75043.522033,69822.18900266667,68814.07159200001,67112.20019,66532.00850966667,65920.61024733334,67685.36385033333,72189.35754766666,78537.40987766667,84040.774991,88651.24198433333,91945.80945966666,94106.98790933333
32,96400.41213633334,96573.50094900001,94899.58131066668,92117.311575,88619.16068666667,84575.89297033333,79946.17332300001,75043.436826,69824.175975,68837.79816600001,67141.98427966668,66567.41825599999,65930.42523200001,67676.57846933334,72185.083941,78538.03643066667,84044.77231766668,88659.41556499999,91955.099498,94114.296002
33,96407.878205,96581.83117733333,94909.69073833333,92126.09742033335,88625.309931,84578.04309766665,79946.36414133332,75043.34738033333,69826.13599933333,68861.51490333333,67171.69427700002,66603.00879133334,65940.43795033333,67667.884449,72180.873521,78538.66485633333,84048.76703633333,88667.59273133334,91964.39762733334,94121.60421533334
34,96415.34429033333,96590.16059566666,94919.80220733333,92134.88432633334,88631.45986166666,84580.19353866666,79946.555375,75043.25372366667,69828.06913433333,68885.28153966667,67201.33045866666,66638.78018566668,65950.648944,67659.28188133333,72176.63904066668,78539.30008566666,84052.759143,88675.77348266666,91973.70386033335,94128.91254933334
35,96422.810393,96598.48920733335,94929.91570833333,92143.67229200002,88637.61047833333,84582.344293,79946.74702333333,75043.15588366667,69829.97543733334,68909.11752633333,67230.89310033333,66674.73250933335,65961.05875633332,67650.770859,72172.38059833333,78539.942173,84056.74863366668,88683.957819,91983.01820966667,94136.221004
36,96430.27651233335,96606.817015,94940.03123200002,92152.461317,88643.76178066665,84584.49536066665,79946.93908533333,75043.053888,69831.85496633334,68933.023924,67260.38247566667,66710.86468400001,65971.67380366666,67642.35147566667,72168.09829233332,78540.591172,84060.73550433332,88692.14574,91992.34068766666,94143.52957933334
37,96437.742649,96615.14402233333,94950.14876966667,92161.251401,88649.91376866667,84586.64674133334,79947.13156066666,75042.94776366667,69833.707779,68956.94206366666,67289.79885733333,66747.16561400001,65982.546516,67634.02382533334,72163.79222133332,78541.24713733334,84064.719751,88700.33724533334,92001.67130666667,94150.838275
38,96445.20880266668,96623.47023166665,94960.26831233333,92170.04254333333,88656.06644266665,84588.79843566666,79947.32444833334,75042.83753766667,69835.533933,68980.85355933332,67319.14251633333,66783.636916,65993.67362166666,67625.78800333333,72159.462484,78541.91012366668,84068.70136966667,88708.53233466666,92011.01007899999,94158.14709133333
39,96452.67497366667,96631.79564633332,94970.389851,92178.83474366668,88662.21980199999,84590.95044333335,79947.51774766667,75042.72323666666,69837.33348566666,69004.75841466668,67348.41372266666,66820.28128033335,66005.15098066667,67617.64410566667,72155.10917966666,78542.58018566667,84072.68035633332,88716.73100733334,92020.35701733333,94165.456028
