,MT_001,MT_002,MT_003,MT_004,MT_005,MT_006,MT_007,MT_008,MT_009,MT_010,MT_011,MT_012,MT_013,MT_014,MT_015,MT_016,MT_017,MT_018,MT_019,MT_020
60,96609.46848866668,96806.45085266668,95183.38796633332,92363.71436166666,88791.59844133334,84636.214964,79951.67078966666,75039.41204433334,69870.49382066667,69505.23289533333,67984.688923,67564.66624633333,66419.83547266667,67471.419658,72058.43983133334,78558.421099,84155.80363066666,88889.73038799998,92218.55154433334,94318.97149899999
61,96616.93503333333,96814.75950333332,95193.55126266666,92372.52969966666,88797.76684533333,84638.37386266666,79951.872957,75039.20406833333,69872.86159633334,69528.99258433333,68015.35505700001,67598.94540566667,66447.52594966667,67465.54449433333,72053.62309366667,78559.210878,84159.763476,88898.00781933333,92228.08135833334,94326.28308099999
62,96624.401595,96823.06742366667,95203.71636433333,92381.34608333332,88803.93593133333,84640.53307466667,79952.07551933335,75038.99474333333,69875.31572600002,69552.74571733334,68045.97728766665,67633.29612466668,66476.17115533334,67459.75982633333,72048.795899,78560.00653733335,84163.72071133333,88906.28882666667,92237.619634,94333.59478266667
63,96631.86817333334,96831.37461633334,95213.88326333334,92390.16351233334,88810.10569933332,84642.69260000001,79952.27847633332,75038.78407699999,69877.752024,69576.49229766667,68076.55573333333,67667.718223,66506.71861366667,67454.06582900001,72043.939707,78560.808104,84167.67532633334,88914.57341000001,92247.166384,94340.90660433333
64,96639.334769,96839.681084,95224.05195233335,92398.98198566667,88816.27614933334,84644.85243866667,79952.48182666667,75038.57207733333,69880.17055266666,69600.23232966666,68107.090511,67702.21152,66539.21866266667,67448.41537066667,72039.05325533333,78561.61560533334,84171.62731033332,88922.861569,92256.72162166667,94348.218546
65,96646.80138133334,96847.98682933334,95234.22242333333,92407.80150333332,88822.44728100002,84647.01259,79952.68556999999,75038.35875166666,69882.57137433333,69623.96581633334,68137.581738,67736.77583633334,66573.25935233333,67442.77988633334,72034.136696,78562.429068,84175.57665266667,88931.15330333333,92266.28536033332,94355.53060766666
66,96654.26801066667,96856.29185466666,95244.39466866666,92416.62206433334,88828.61909433333,84649.17305466667,79952.88970566668,75038.144108,69884.95455099999,69647.692762,68168.02953066667,67771.41428000001,66607.951953,67437.15813866667,72029.19017999999,78563.24851933333,84179.52334233333,88939.44861233333,92275.85761333333,94362.842789
67,96661.73465700001,96864.59616300002,95254.56868099999,92425.44366866666,88834.79158933333,84651.33383233333,79953.094233,75037.92815366667,69887.32014433334,69671.41317,68198.43400533333,67806.14361700001,66643.30652633334,67431.596187,72024.21386,78564.07398633333,84183.46736866666,88947.74749566667,92285.43839400001,94370.15509000001
68,96669.20132033333,96872.89975633333,95264.744453,92434.26631566667,88840.96476566668,84653.49492366667,79953.29915133333,75037.71089599999,69889.66821566666,69695.12704433333,68228.795278,67840.55472033333,66679.33334266668,67426.121515,72019.207888,78564.90549633333,84187.408721,88956.04995333333,92295.02771533333,94377.467511
69,96676.66800066666,96881.20263766666,95274.92197733333,92443.09000466666,88847.13862333332,84655.656328,79953.50445966667,75037.49234233332,69891.99882633332,69718.83438866667,68259.11346366668,67874.52599733335,66716.04288633334,67420.73426833334,72014.17241733334,78565.74307633333,84191.34738866666,88964.35598499999,92304.62559066666,94384.78005166666
70,96684.13469766667,96889.50480899999,95285.10124633333,92451.91473533334,88853.31316166667,84657.81804533333,79953.71015766666,75037.27250033333,69894.31203733334,69742.535207,68289.38867766666,67908.02447033334,66753.44586200001,67415.43459366668,72009.10760166666,78566.58675366668,84195.28336066667,88972.66558999999,92314.23203333333,94392.09271233332
71,96691.60141166666,96897.80627333332,95295.282253,92460.74050666667,88859.48838133334,84659.98007566667,79953.91624466667,75037.05137733334,69896.60790933334,69766.22950266667,68319.62103400001,67941.44310000002,66791.82087333333,67410.22263866666,72004.01359466666,78567.43655533332,84199.216626,88980.97876833333,92323.84705699999,94399.40549233333
72,96692.20526100001,96899.58384466666,95297.63192900001,92464.31300566666,88862.82790700001,84661.01122900001,79954.154107,75036.54540133332,69897.56618033334,69775.17918133333,68333.96359266667,67959.43111233335,66812.29755533334,67404.75329333333,72002.56803266668,78567.617198,84199.69042833331,88982.22721566667,92325.43601666666,94400.28148333333
73,96685.94464733334,96894.83927833334,95292.14988066668,92462.62940333334,88863.33154433333,84660.91268733333,79954.42375733334,75035.754364,69897.19241333334,69769.387338,68332.43880033334,67961.98990166669,66814.73479433333,67399.00290233332,72004.78291666666,78567.13030933333,84196.706767,88976.41103033333,92318.996095,94394.72075466666
74,96672.81796833333,96883.57433566666,95278.83571633334,92455.68686933332,88860.99909866667,84659.68563266667,79954.725208,75034.67805366666,69895.49215033335,69748.85706766667,68315.06906699999,67949.12088566668,66798.71137366667,67392.94776,72010.670196,78565.97748833334,84190.26764666666,88963.529675,92304.52447,94382.72337666666
75,96659.68650066666,96872.31510266667,95265.522109,92448.73688466666,88858.66674999999,84658.46243766666,79955.027086,75033.59983266667,69893.791235,69728.329563,68297.72381933332,67936.27846333334,66782.86515333333,67386.90936833333,72016.56428566667,78564.835616,84183.831822,88950.651024,92290.05297433333,94370.726328
76,96646.55023400001,96861.06224300001,95252.20905866667,92441.77944366667,88856.33449866668,84657.24310333333,79955.32939233334,75032.51969466667,69892.089998,69707.80482633335,68280.40305899999,67923.46266133334,66767.10109566666,67380.887725,72022.46518433333,78563.70463266668,84177.399297,88937.77460133332,92275.58160833333,94358.72960866666
77,96633.40915866668,96849.78862299999,95238.89845933334,92434.81454100001,88854.00234433333,84656.02763033334,79955.63212866666,75031.43763233333,69890.39045566665,69687.28285999999,68263.10678766666,67910.67350666667,66751.33287,67374.88282700001,72028.37289033334,78562.58447933332,84170.97007466666,88924.90056633334,92261.11037266666,94346.73321866668
78,96620.26326433332,96838.48125566666,95225.59824133334,92427.84217133334,88851.67028733333,84654.81601966667,79955.93529633334,75030.35363933332,69888.69337066666,69666.76366633334,68245.835007,67897.91102633334,66735.56046766667,67368.89467200001,72034.287402,78561.475096,84164.54415866667,88912.028971,92246.63926766666,94334.73715833334
79,96607.11254133332,96827.14034766667,95212.308303,92420.86232866667,88849.33832733333,84653.60827166667,79956.23889666668,75029.26770866667,69886.99917466666,69646.24724766667,68228.58771833334,67885.17524733335,66719.78388066667,67362.89504466667,72040.20871766667,78560.37642366666,84158.12155233334,88899.15981533333,92232.16829400002,94322.74142766667
80,96593.95697933335,96815.79391200001,95199.026649,92413.87500766666,88847.00646433333,84652.40438766667,79956.542931,75028.17983366667,69885.30661533333,69625.733607,68211.36492333333,67872.32638666668,66704.00310000002,67356.836863,72046.13683566666,78559.28840266667,84151.70225966665,88886.29309866666,92217.69745233335,94310.74602733333
81,96580.79656833333,96804.45469333332,95185.74524666667,92406.88020233333,88844.67469866667,84651.20436833333,79956.84740099999,75027.090007,69883.615695,69605.22274633333,68194.16662366666,67859.28792133335,66688.21811800002,67350.735522,72052.07175399999,78558.210974,84145.28628366668,88873.428821,92203.22674300002,94298.75095666666
82,96567.631298,96793.12273966667,95172.464096,92399.87790766665,88842.34302999999,84650.00821466667,79957.152308,75025.99822166667,69881.926416,69584.714668,68176.992821,67846.06266166669,66672.42892566668,67344.66452033333,72058.01347133332,78557.144078,84138.873628,88860.566982,92188.756167,94286.75621633332
83,96554.46115866666,96781.79809833334,95159.18319733332,92392.868118,88840.01145866666,84648.815927,79957.45765333333,75024.90447066666,69880.23878100001,69564.20937433334,68159.84351666666,67832.79322400001,66656.63551466668,67338.68219866666,72063.96198566667,78556.087655,84132.464296,88847.70758199999,92174.28572433333,94274.76180600001
84,96541.28613999998,96770.480818,95145.90255066667,92385.85082766665,88837.67998433334,84647.62750666666,79957.76343833334,75023.80874733333,69878.55279266667,69543.706868,68142.71871233334,67819.55896133334,66640.83787633335,67332.78438666667,72069.917296,78555.02958999999,84126.05829133333,88834.85062033334,92159.81541600001,94262.76772633333
85,96528.10623166668,96759.17094733333,95132.62215633334,92378.826031,88835.34860733333,84646.44295433334,79958.06966466666,75022.71104433334,69876.97294566665,69523.20715133334,68125.61840933333,67806.35988966668,66625.03600233333,67326.93698933335,72075.87939966666,78553.96611333334,84119.65966766667,88821.99609700001,92145.345242,94250.77397699999
86,96514.92142333333,96747.86853566665,95119.342014,92371.79372233333,88833.01732733333,84645.262271,79958.37633433334,75021.61135466666,69875.76779633334,69502.71022666666,68108.54260966666,67793.19602500001,66609.22988433334,67321.13990166667,72081.84829566667,78552.897721,84113.27108733333,88809.14401166666,92130.87520333333,94238.78055866667
